YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score
2009,FARIDABAD,SAMSUDDIN,IND,SAMSUDIN,IND,0.9471,0.9412,1.0
2009,FARIDABAD,HARSH BHATIA,IND,HARSH BHATIYA,IND,0.964,0.96,1.0
2004,FARIDKOT,NIRMAL SINGH,LJP,NIRMAL SINGH,LJNSP,0.975,1.0,0.75
2009,FARRUKHABAD,MITHLESH KUMARI,BJP,MITHALESH KUMARI,BJP,0.971,0.9677,1.0
2009,FARRUKHABAD,RISHIDUTT,ABHM,RISHI DUTT,ABHM,0.9526,0.9474,1.0
2009,FARRUKHABAD,RAMSHARAN,BNRP,RAM SHARAN,BNRP,0.9526,0.9474,1.0
2009,FATEHPUR SIKRI,SEEMA UPADHYAY,BSP,SEEMA UPADHAYAY,BSP,0.969,0.9655,1.0
2009,FATEHPUR SIKRI,SATISH CHANDR,IND,SATISH CHANDRA,IND,0.9667,0.963,1.0
2009,FATEHPUR SIKRI,BENI PRASHAD AGARWAL,IND,BENI PRASAD AGARWAL,IND,0.9769,0.9744,1.0
2009,GANDHINAGAR,KALPESHKUMAR RAJANIKANT MODI,IND,KALPESHKUMAR RAJNIKANT MODI,IND,0.9836,0.9818,1.0
2009,GAYA,RAMKISHORE PASWAN,IND,Ram Kishore Paswan,IND,0.9743,0.9714,1.0
2009,GAYA,AMARNATH PRASAD,IND,Amar Nath Prasad,IND,0.971,0.9677,1.0
2009,GAYA,KRISHNA CHOUDHARY,IND,Krishna Chaudhary,IND,0.9471,0.9412,1.0
2009,GONDA,KIRTI VARDHAN SINGH (RAJA BHAIYA),BSP,KIRTI VARDHAN SINGH RAJA BAIYA,BSP,0.9852,0.9836,1.0
2009,GONDA,AKHILENDRA KUMAR PATHAK,IND,AKILENDRA KUMAR PATHAK,IND,0.98,0.9778,1.0
2009,GONDA,GANGA DHAR SHUKLA,IND,GAGNGA DHAR SHUKLA,IND,0.9743,0.9714,1.0
2004,GOPALGANJ,CHHATHU SAH,BSP,CHHATHU SHAH,BSP,0.9609,0.9565,1.0
2009,GOPALGANJ,PURNMASI RAM,JD(U),PURNAMASI RAM,JD(U),0.964,0.96,1.0
2009,GOPALGANJ,RAMAI RAM,INC,Rami Ram,INC,0.9471,0.9412,1.0
2009,GOPALGANJ,DHARMENDRA KUMAR HAZRA,IND,DHARMENDRA KUMAR HAJARA,IND,0.94,0.9333,1.0
2009,GOPALGANJ,SHAMBHU DOM,IND,SAMBHU DOM,IND,0.9571,0.9524,1.0
2009,GOPALGANJ,DINANATH MANJHI,IND,DINA NATH MANJHI,IND,0.971,0.9677,1.0
2009,GORAKHPUR,ADITYANATH,BJP,ADITYA NATH,BJP,0.9571,0.9524,1.0
2009,GORAKHPUR,LALCHAND NISHAD,INC,LAL CHAND NISHAD,INC,0.971,0.9677,1.0
2009,GORAKHPUR,NIRANJAN PRASAD,IND,NIRANRAN PRASAD,IND,0.94,0.9333,1.0
2009,GORAKHPUR,HARISHCHANDRA,IND,HARISH CHANDRA,IND,0.9667,0.963,1.0
2009,GORAKHPUR,RAJBAHADUR,IJP,RAJ BAHADUR,IJP,0.9571,0.9524,1.0
2009,GORAKHPUR,RAJMANI,BEP,RAJ MANI,BEP,0.94,0.9333,1.0
2009,GUNA,P.MAHESH CHANDAR SHASHTRI,IND,P.MAHESH CHANDRA SHASHTRI,IND,0.964,0.96,1.0
