spec_id,controls,year_filter,party_filter,seat_filter,winnable_threshold,female_coef,female_se,female_p,ci_lower,ci_upper,n
627,full,2009,national,all,25,0.053613160030504425,1.6780100011683015,0.9745115728171508,-3.2352260079573805,3.342452328018389,948
628,full,2009,national,general,25,-0.8909489654357239,2.0434997921308464,0.6628427454852297,-4.89613496042727,3.114237029555822,717
629,full,2009,national,sc,25,1.0792643324539068,2.744993617951659,0.6941898384208565,-4.300824296523645,6.45935296143146,140
630,full,2009,regional,all,25,-0.0812080386790258,6.52346146960069e-11,0.0,-0.08120803880688329,-0.08120803855116832,5689
631,full,2009,regional,general,25,0.18830937187299607,6.627881806258514e-11,0.0,0.18830937174309198,0.18830937200290015,4713
632,full,2009,regional,sc,25,0.06227290718424245,0.8348619591749221,0.9405404031451409,-1.5740264648611537,1.6985722792296387,717
633,full,2009,regional,st,25,-3.9299102006299322,1.471266364171594,0.0075601494819035895,-6.813539286071448,-1.0462811151884166,259
634,full,2009,independent,all,25,-0.25556704107313866,0.2042663831552807,0.21088126390028383,-0.655921795309748,0.14478771316347067,3834
635,full,2009,independent,general,25,-0.150932132976141,1.0202901783485369e-11,0.0,-0.1509321329961383,-0.1509321329561437,3261
636,full,2009,independent,sc,25,0.016170478859055423,0.300143828122452,0.9570341439932293,-0.5721006144429307,0.6044415721610416,439
637,full,2014,all,all,25,-0.05296386858495701,0.28397907950902695,0.8520477907939044,-0.6095526367854863,0.5036248996155722,6242
638,full,2014,all,general,25,0.2607614250137314,0.5546679216147483,0.6382680729936651,-0.8263677247308612,1.3478905747583239,5096
639,full,2014,all,sc,25,-0.27894275112754835,1.0070721216885057e-11,0.0,-0.2789427511472866,-0.2789427511078101,811
640,full,2014,all,st,25,-2.74892714780235,1.533588995847245,0.07305615761179853,-5.754706346749897,0.2568520511451968,335
641,full,2014,national,all,25,-0.6560118539031828,1.9770628879235208,0.7400317331807276,-4.530983909404033,3.2189602015976675,955
642,full,2014,national,general,25,-0.14280180569300116,2.219984041564403,0.9487109697280725,-4.4938905734129015,4.2082869620269,719
643,full,2014,national,sc,25,-3.2693393310210035,6.478585423206958,0.613813229804387,-15.967133431272826,9.42845476923082,145
644,full,2014,regional,all,25,0.08535945229007662,4.909441608220727e-11,0.0,0.08535945219385332,0.08535945238629991,5287
645,full,2014,regional,general,25,0.4126028666499191,1.1963903813417243e-10,0.0,0.41260286641543087,0.4126028668844073,4377
646,full,2014,regional,sc,25,-0.21091942932908064,0.7648182133870987,0.782719192693373,-1.7099355822880637,1.2880967236299026,666
647,full,2014,regional,st,25,-2.7699312028248917,1.3465488661036986,0.03968049814832018,-5.409118483811389,-0.13074392183839478,244
648,full,2014,independent,all,25,-0.17595393044311478,0.29752114610342756,0.5542526100680394,-0.7590846614449123,0.40717680055868266,3230
649,full,2014,independent,general,25,0.3151773368655762,1.7937239327712474e-11,0.0,0.3151773368304199,0.3151773369007325,2769
650,full,2014,independent,sc,25,0.08939325720178734,1.237577434653077e-13,0.0,0.08939325720154478,0.0893932572020299,351
651,full,2014,independent,st,25,-6.0784203672459,2.0146112367129723,0.00255148440881574,-10.026985834053022,-2.129854900438777,110
652,full,2019,all,all,25,0.411178377459206,9.515578745651102e-11,0.0,0.41117837727270407,0.4111783776457079,6055
653,full,2019,all,general,25,0.46269423017469125,1.53909540220985e-10,0.0,0.4626942298730341,0.4626942304763484,4978
654,full,2019,all,sc,25,0.27886289642668677,1.143648390201155,0.8073576700475039,-1.9626467593447874,2.520372552198161,745
655,full,2019,all,st,25,0.8075207932861901,1.4604541199359902,0.5803151433373197,-2.0549166828614913,3.669958269433871,332
656,full,2019,national,all,25,0.4756076818472851,1.3174162831705405,0.7180878693170953,-2.106480785813596,3.057696149508166,882
657,full,2019,national,general,25,0.9625383368553264,1.6338465425221964,0.5557780428838,-2.239742042753469,4.164818716464121,662
