review_id,PARL_ROW_ID,MYNETA_ROW_ID,YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score,review_priority,decision,evidence_reference,reviewer,reviewed_at_utc,notes
128,2557,5275,2009,BULDHANA,FERAN CHANDRAHAS JAGDEO,ABHM,FERAN CHADRAHAS JAGDEO,ABHM,0.98,0.9777777777777777,1.0,P1,,,,,
129,2587,5889,2009,BUXAR,JAGADA NAND SINGH,RJD,Jagda Nand singh,RJD,0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
130,2588,6755,2009,BUXAR,LAL MUNI CHOUBEY,BJP,Lalmuni choubey,BJP,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
131,2591,6305,2009,BUXAR,KAMLA KANT TIWARY,INC,Kamla Kant Tiwari,INC,0.9470588235294117,0.9411764705882353,1.0,P4,,,,,
132,2597,6013,2009,BUXAR,JAI SINGH YADAV,IND,Jay singh yadav,IND,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
133,2600,8470,2009,BUXAR,RAJENDRA PASWAN,IND,Rajendar Paswan,IND,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
134,2603,6728,2009,BUXAR,LALLAN RUPNARAIN PATHAK,IND,Lalan Rup Narain Pathak,IND,0.9608695652173913,0.9565217391304348,1.0,P3,,,,,
135,2605,10196,2009,BUXAR,SURENDRA KUMAR BHARTI,IND,Surendar Kumar Bharti,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
136,2697,8299,2009,CHAMARAJANAGAR,PURUSHOTTHAMA.R,IND,PURUSHOTHAMA R,IND,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
137,2700,4666,2009,CHAMARAJANAGAR,CHOWDAHALLY JAVARAIAH,CPI(ML)(L),CHOWDAHALLI JAVARAIAH,CPI(ML)(L),0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
138,2720,6004,2009,CHANDAULI,JAWAHAR LAL JAISAWAL,BJP,JAWAHAR LAL JAISWAL,BJP,0.9769230769230769,0.9743589743589743,1.0,P2,,,,,
139,2732,8603,2009,CHANDAULI,RAJNATH,BRPP,RAJNATH,BRP,0.9857142857142858,1.0,0.8571428571428571,P1,,,,,
140,2926,7298,2009,CHENNAI CENTRAL,MOHAMMED ALI ZINNA.A,IND,MOHAMED ALI ZINNA.A,IND,0.9769230769230769,0.9743589743589743,1.0,P2,,,,,
141,2944,8129,2009,CHENNAI CENTRAL,PRABHU.V,IND,PRABU.V,IND,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
142,2950,4901,2009,CHENNAI CENTRAL,DHAMODARAN.T,IND,DHAMODHARAN.T,IND,0.964,0.96,1.0,P3,,,,,
143,3206,6836,2009,CHITRADURGA,M KUMBAIAH,IND,M KUMBHAIAH,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
144,3229,9901,2009,CHITTORGARH,SITARAM GUJAR,IND,SITARAM  GUJHAR,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
145,3232,9371,2009,CHITTORGARH,SANTOSH JOSHI,IND,SANTOSH JOSI,IND,0.964,0.96,1.0,P3,,,,,
146,3263,9618,2009,CHURU,SHAILENDRA AWASTHI,SP,SHALENDRA  AWASTHI,SP,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
147,3467,10908,2009,DARBHANGA,YUGESHWAR SAHANI,BSP,YUGESHWAR SAHNI,BSP,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
148,3507,8694,2009,DAUSA,RAM KISHORE MEENA,BJP,RAM KISHOR MEENA,BJP,0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
149,3508,9772,2009,DAUSA,SHIVA RAM,RJVP,SHIVARAM,RJVP,0.9470588235294117,0.9411764705882353,1.0,P4,,,,,
150,3537,5584,2009,DAVANAGERE,H K KENCHAVEERAPPA HEBBALU,IND,H K KENCHVEERAPPA HEBBALU,IND,0.9823529411764705,0.9803921568627451,1.0,P1,,,,,
151,3596,5904,2009,DEORIA,JAGDISH KUMAR VERMA,LPSP,JAGDISH KUMAR VERMA,LSP,0.9857142857142858,1.0,0.8571428571428571,P1,,,,,
152,3670,5344,2009,DHAR,GAJENDRA SINGH RAJUKHEDI,INC,GAJENDRASINGH RAJUKHEDI,INC,0.9808510638297872,0.9787234042553191,1.0,P1,,,,,
153,3671,7435,2009,DHAR,MUKAM SINGH KIRADE,BJP,MUKAMSINGH KIRADE,BJP,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
154,3676,6082,2009,DHAR,JITENDRA SINGH BAGHEL,GGP,JITENDRASINGH BHAGHEL,GGP,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
155,3677,6495,2009,DHAR,KHUMAN SINGH BARIYA,IND,KHUMANSINGH BARIYA,IND,0.9756756756756757,0.972972972972973,1.0,P2,,,,,
156,3678,6383,2009,DHAR,KARAN SINGH,IND,KARANSINGH,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
157,3680,4218,2009,DHAR,BAPUSINGH BAGHEL,RPI(A),BAPUSINGH BHAGHEL,RPI(A),0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
158,3720,5621,2009,DHARWAD,HANUMANTSA CHANDRAKANTSA NIRANJAN,JD(U),HANMANTSA CHANDRAKANTSA NIRANJAN,JD(U),0.9861538461538462,0.9846153846153847,1.0,P1,,,,,
159,3763,4564,2009,DHENKANAL,CHANDRA SEKHAR TRIPATHI,INC,Chandra Sekhar Tripathy,INC,0.9608695652173913,0.9565217391304348,1.0,P3,,,,,
