spec_id,controls,vote_share_min,year_filter,party_filter,seat_filter,winnable_threshold,n,n_female,female_coef,female_se,female_p,ci_lower,ci_upper,r2
146,none+winnable,0.25,2004,all,all,30,2678,192,-0.6020287627694164,0.5567040818570349,0.2795120585553753,-1.6931487132556429,0.48909118771681015,0.0005434133197724789
578,year+winnable,0.25,2004,all,all,30,2678,192,-0.602028762769416,0.5567040818570349,0.27951205855537564,-1.6931487132556424,0.4890911877168106,0.0005434133197724789
1357,full+winnable,0.0,2004,regional,all,20,1938,116,-0.5994532835404166,0.5047020020915847,0.23493700922483673,-1.5886510305651815,0.3897444634843483,0.0197736210092051
925,controls+winnable,0.0,2004,regional,all,20,1938,116,-0.5994532835404162,0.5047020020915847,0.23493700922483707,-1.588651030565181,0.38974446348434877,0.0197736210092051
1444,full+winnable,0.25,2004,all,all,40,2678,192,-0.5988140268202973,0.5581935164498804,0.2833737065671338,-1.692853215465829,0.49522516182523435,0.013525063583608277
1012,controls+winnable,0.25,2004,all,all,40,2678,192,-0.5988140268202953,0.5581935164498808,0.2833737065671358,-1.6928532154658278,0.49522516182523724,0.013525063583608499
147,none+winnable,0.25,2004,all,all,35,2678,192,-0.5956118675928906,0.5576523520746985,0.28548884015870635,-1.68859039355335,0.49736665836756855,0.0006303150579511918
579,year+winnable,0.25,2004,all,all,35,2678,192,-0.5956118675928903,0.5576523520746984,0.28548884015870657,-1.6885903935533493,0.49736665836756866,0.0006303150579510808
577,year+winnable,0.25,2004,all,all,20,2678,192,-0.5909531565212515,0.5562014625070436,0.28801764788950934,-1.6810879911835621,0.4991816781410593,0.0006453708543140424
145,none+winnable,0.25,2004,all,all,20,2678,192,-0.5909531565212514,0.5562014625070436,0.28801764788950934,-1.6810879911835621,0.4991816781410594,0.0006453708543140424
926,controls+winnable,0.0,2004,regional,all,30,1938,116,-0.5898076434633227,0.5058637916394616,0.2436380541971659,-1.5812824561595415,0.40166716923289614,0.019968210106545592
1358,full+winnable,0.0,2004,regional,all,30,1938,116,-0.5898076434633226,0.5058637916394615,0.2436380541971659,-1.581282456159541,0.401667169232896,0.019968210106545592
1647,full+winnable,1.0,all,regional,all,35,1742,119,-0.5897287852262537,0.7020145803598036,0.4008792050732082,-1.9656520793534682,0.7861945089009609,0.1368413443169424
1606,full+winnable,0.5,2009,national,reserved,30,305,23,-0.5893733365141752,2.474013624447512,0.8117061363268542,-5.438350937692702,4.259604264664352,0.14250777176417428
1174,controls+winnable,0.5,2009,national,reserved,30,305,23,-0.5893733365141747,2.4740136244475135,0.8117061363268544,-5.438350937692705,4.259604264664355,0.14250777176417428
689,year+winnable,0.5,2004,all,general,20,1603,116,-0.585754830129106,0.8200331752963489,0.4750378224494297,-2.1929903198379703,1.0214806595797585,0.0010035847491288719
257,none+winnable,0.5,2004,all,general,20,1603,116,-0.5857548301291058,0.8200331752963486,0.4750378224494297,-2.1929903198379694,1.021480659579758,0.0010035847491288719
760,year+winnable,1.0,all,all,all,40,3793,289,-0.5852178564068854,0.6314162734015899,0.3540129049415911,-1.822771011526498,0.652335298712727,0.09059817759376299
1556,full+winnable,0.5,2004,all,general,40,1603,116,-0.5828843495849776,0.8210852892395571,0.4777692450882407,-2.1921819447301627,1.0264132455602075,0.015112831925829018
1124,controls+winnable,0.5,2004,all,general,40,1603,116,-0.5828843495849776,0.8210852892395579,0.47776924508824115,-2.192181944730164,1.026413245560209,0.015112831925829018
355,none+winnable,1.0,all,regional,general,35,1165,76,-0.580819071860414,0.8629914577394063,0.5009282561957806,-2.2722512479953707,1.1106131042745424,0.09404601945457758
1220,controls+winnable,1.0,all,regional,general,40,1165,76,-0.5796949696287226,0.868509934452245,0.5044788451613516,-2.281943161370366,1.1225532221129206,0.11623089901831885
851,year+winnable,1.0,2009,national,reserved,35,272,22,-0.5793693298793545,2.679870761911679,0.8288373009251159,-5.831819506448159,4.67308084668945,0.15634035113807998
419,none+winnable,1.0,2009,national,reserved,35,272,22,-0.5793693298793503,2.6798707619116793,0.8288373009251171,-5.831819506448156,4.673080846689455,0.15634035113807998
876,controls+winnable,0.0,all,all,reserved,40,2403,179,-0.5792341665699651,0.5573119019506437,0.2986486280351879,-1.6715454225487445,0.5130770894088145,0.050444057092555616
353,none+winnable,1.0,all,regional,general,20,1165,76,-0.575233520941975,0.8688809857447319,0.5079459164295799,-2.27820895985331,1.1277419179693597,0.07753022050040426
1308,full+winnable,0.0,all,all,reserved,40,2403,179,-0.5734702817580234,0.5501142313468236,0.2971999774651043,-1.6516743625807329,0.504733799064686,0.07687274148915868
1443,full+winnable,0.25,2004,all,all,35,2678,192,-0.5715137908623689,0.558220738374436,0.3059234886891762,-1.6656063334996194,0.5225787517748817,0.014151867305707833
1011,controls+winnable,0.25,2004,all,all,35,2678,192,-0.5715137908623682,0.5582207383744358,0.3059234886891766,-1.6656063334996183,0.5225787517748819,0.014151867305707833
1416,full+winnable,0.25,all,all,reserved,40,1952,152,-0.5688154286094564,0.6035435680977249,0.34595738668150045,-1.7517390851817949,0.614108227962882,0.08428252958332605
1555,full+winnable,0.5,2004,all,general,35,1603,116,-0.5670770484361127,0.8230291151103614,0.4908156305677953,-2.1801844722802914,1.046030375408066,0.015021799356946253
1123,controls+winnable,0.5,2004,all,general,35,1603,116,-0.5670770484361125,0.823029115110362,0.49081563056779587,-2.1801844722802928,1.0460303754080675,0.015021799356946253
12,none+winnable,0.0,all,all,reserved,40,2403,179,-0.5643989927454576,0.5551594786991146,0.3093232950016699,-1.6524915766717536,0.5236935911808385,0.04868253823573121
1312,full+winnable,0.0,all,national,all,40,2199,181,-0.5612849277004883,0.9174720535488716,0.5406877415499236,-2.359497109478281,1.236927254077304,0.08361978685519578
